NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
5      2     46      3       5 __init__@27-31@../algorithms/algorithms/tree/segment_tree/iterative_segment_tree.py
5      2     30      2       5 insert@20-24@../algorithms/algorithms/tree/trie/trie.py
5      2     26      2      10 maximum@160-169@../algorithms/algorithms/tree/red_black_tree/red_black_tree.py
5      2     23      2      10 minimum@171-180@../algorithms/algorithms/tree/red_black_tree/red_black_tree.py
5      1     22      1      11 serialize@10-20@../algorithms/algorithms/tree/bst/serialize_deserialize.py
5      2     33      1       5 height@22-26@../algorithms/algorithms/tree/bst/height.py
5      2     36      2       5 recur_size@31-35@../algorithms/algorithms/tree/bst/bst.py
5      2     39      2       5 preorder@84-88@../algorithms/algorithms/tree/bst/bst.py
5      2     39      2       5 inorder@90-94@../algorithms/algorithms/tree/bst/bst.py
5      2     39      2       5 postorder@96-100@../algorithms/algorithms/tree/bst/bst.py
5      2     29      2       5 __init__@3-7@../algorithms/algorithms/tree/bst/BSTIterator.py
5      2     29      1       5 print_tree@36-40@../algorithms/algorithms/tree/max_height.py
5      2     29      1       5 print_tree@36-40@../algorithms/algorithms/tree/min_height.py
5      2     25      1       5 recursive@1-5@../algorithms/algorithms/strings/reverse_string.py
5      2     39      3       5 reverse@2-6@../algorithms/algorithms/strings/reverse_words.py
5      1     39      1       6 reverse_words@9-14@../algorithms/algorithms/strings/reverse_words.py
5      2     28      2       5 is_rotated@12-16@../algorithms/algorithms/strings/is_rotated.py
5      2     25      1       7 is_palindrome_reverse@59-65@../algorithms/algorithms/strings/is_palindrome.py
5      2     33      1       9 encode@8-16@../algorithms/algorithms/strings/encode_decode.py
5      1     41      2       5 remove_bit@11-15@../algorithms/algorithms/bit/remove_bit.py
5      2     19      1      11 single_number@13-23@../algorithms/algorithms/bit/single_number.py
5      2     30      2       7 find_difference@22-28@../algorithms/algorithms/bit/find_difference.py
5      4     51      1       5 walls_and_gates@22-26@../algorithms/algorithms/dfs/walls_and_gates.py
5      1     35      4       5 __init__@24-28@../algorithms/algorithms/dfs/sudoku_solver.py
5      2     37      1      22 top_sort_recursive@3-24@../algorithms/algorithms/sort/top_sort.py
